cit_res_code,country,continent
582,mexico,North America
236,afghanistan,Asia
101,albania,Europe
316,algeria,Africa
102,andorra,Europe
324,angola,Africa
529,anguilla,North America
518,antigua-barbuda,North America
687,argentina ,South America
151,armenia,Asia
532,aruba,South America
438,australia,Oceania
103,austria,Europe
152,azerbaijan,Eurasia
512,bahamas,North America
298,bahrain,Gulf
274,bangladesh,Asia
513,barbados,North America
104,belgium,Europe
581,belize,North America
386,benin,Africa
509,bermuda,Atlantic Ocean
153,belarus,Europe
242,bhutan,Asia
688,bolivia,South America
717,"bonaire, st eustatius, saba",South America
164,bosnia-herzegovina,Europe
336,botswana,Africa
689,brazil,South America
525,british virgin islands,North America
217,brunei,Asia
105,bulgaria,Europe
393,burkina faso,Africa
243,burma,Asia
375,burundi,Africa
310,cameroon,Africa
326,cape verde,Africa
526,cayman islands,North America
383,central african republic,Africa
384,chad,Africa
690,chile,South America
245,"china, prc",Asia
721,curacao,South America
270,christmas island,Asia
271,cocos islands,Asia
691,colombia,South America
317,comoros,Africa
385,congo,Africa
467,cook islands,Oceania
575,costa rica,North America
165,croatia,Europe
584,cuba,North America
218,cyprus,Europe
140,czech republic,Europe
723,faroe islands (part of denmark),Europe
108,denmark,Europe
322,djibouti,Africa
519,dominica,North America
585,dominican republic,North America
240,east timor,Asia
692,ecuador,South America
368,egypt,Africa
576,el salvador,North America
399,equatorial guinea,Africa
372,eritrea,Africa
109,estonia,Europe
369,ethiopia,Africa
604,falkland islands,South America
413,fiji,Oceania
110,finland,Europe
111,france,Europe
601,french guiana,South America
411,french polynesia,Oceania
387,gabon,Africa
338,gambia,Africa
758,gaza strip,Africa
154,georgia,Eurasia
112,germany,Europe
339,ghana,Africa
143,gibraltar,Europe
113,greece,Europe
520,grenada,North America
507,guadeloupe,North America
577,guatemala,North America
382,guinea,Africa
327,guinea-bissau,Africa
603,guyana,South America
586,haiti,North America
726,heard and mcdonald is.,Oceania
149,holy see/vatican,Europe
528,honduras,North America
206,hong kong,Asia
114,hungary,Europe
115,iceland,Europe
213,india,Asia
759,indian ocean areas (french),Asia
729,indian ocean territory,Asia
204,indonesia,Asia
249,iran,Asia
250,iraq,Gulf
116,ireland,Europe
251,israel,Asia
117,italy,Europe
388,ivory coast,Africa
514,jamaica,Africa
209,japan,Asia
253,jordan,Asia
201,kampuchea,Asia
155,kazakhstan,Asia
340,kenya,Africa
414,kiribati,Oceania
732,kosovo,Europe
272,kuwait,Gulf
156,kyrgyzstan,Asia
203,laos,Asia
118,latvia,Europe
255,lebanon,Asia
335,lesotho,Africa
370,liberia,Africa
381,libya,Africa
119,liechtenstein,Europe
120,lithuania,Europe
121,luxembourg,Europe
214,macau,Asia
167,macedonia,Europe
320,madagascar,Africa
345,malawi,Africa
273,malaysia,Asia
220,maldives,Asia
392,mali,Africa
145,malta,Europe
472,marshall islands,Oceania
511,martinique,North America
389,mauritania,Africa
342,mauritius,Africa
760,mayotte (africa - french),Europe
473,"micronesia, fed. states of",Oceania
157,moldova,Europe
122,monaco,Europe
299,mongolia,Asia
735,montenegro,Europe
521,montserrat,North America
332,morocco,Africa
329,mozambique,Africa
371,namibia,Africa
440,nauru,Oceania
257,nepal,Asia
123,netherlands,Europe
508,netherlands antilles,Europe
409,new caledonia,Oceania
464,new zealand,Oceania
579,nicaragua,North America
390,niger,Africa
343,nigeria,Africa
470,niue,Oceania
275,north korea,Asia
124,norway,Europe
256,oman,Gulf
258,pakistan,Asia
474,palau,Oceania
743,palestine,Asia
504,panama,North America
441,papua new guinea,Oceania
693,paraguay,South America
694,peru,South America
260,philippines,Asia
416,pitcairn islands,Oceania
107,poland,Europe
126,portugal,Eurasia
297,qatar,Gulf
748,republic of south sudan,Africa
321,reunion,Africa
127,romania,Europe
158,russia,Eurasia
376,rwanda,Africa
128,san marino,Europe
330,sao tome and principe,Africa
261,saudi arabia,Gulf
391,senegal,Africa
142,serbia and montenegro,Europe
745,serbia,Europe
347,seychelles,Africa
348,sierra leone,Africa
207,singapore,Asia
141,slovakia,Europe
166,slovenia,Europe
412,solomon islands,Oceania
397,somalia,Africa
373,south africa,Africa
276,south korea,Asia
129,spain,Europe
244,sri lanka,Asia
346,st. helena,Africa
522,st. kitts-nevis,North America
523,st. lucia,North America
502,st. pierre and miquelon,North America
524,st. vincent-grenadines,North America
716,saint barthelemy,North America
736,saint martin,North America
749,saint maarten,North America
350,sudan,Africa
602,suriname,South America
351,swaziland,Africa
130,sweden,Europe
131,switzerland,Europe
262,syria,Asia
268,taiwan,Asia
159,tajikistan,Asia
353,tanzania,Asia
263,thailand,Asia
304,togo,Africa
417,tonga,Oceania
516,trinidad and tobago,South America
323,tunisia,Africa
264,turkey,Eurasia
161,turkmenistan,Asia
527,turks and caicos islands,North America
420,tuvalu,Oceania
352,uganda,Africa
162,ukraine,Europe
296,united arab emirates,Gulf
135,united kingdom,Europe
695,uruguay,South America
163,uzbekistan,Asia
410,vanuatu,Oceania
696,venezuela,South America
266,vietnam,Asia
469,wallis and futuna islands,Oceania
757,west indies (french),North America
333,western sahara,Africa
465,western samoa,Oceania
216,yemen,Asia
139,yugoslavia,Europe
301,zaire,Africa
344,zambia,Africa
315,zimbabwe,Africa
403,invalid: american samoa,INVALID
712,invalid: antarctica,INVALID
700,invalid: born on board ship,INVALID
719,invalid: bouvet island (antarctica/norway terr.),INVALID
574,invalid: canada,INVALID
720,invalid: canton and enderbury isls,INVALID
106,invalid: czechoslovakia,INVALID
739,invalid: dronning maud land (antarctica-norway),INVALID
394,invalid: french southern and antarctic,INVALID
501,invalid: greenland,INVALID
404,invalid: guam,INVALID
730,invalid: international waters,INVALID
731,invalid: johnson island,INVALID
471,"invalid: mariana islands, northern",INVALID
737,invalid: midway islands,INVALID
753,invalid: minor outlying islands - usa,INVALID
740,invalid: neutral zone (s. arabia/iraq),INVALID
710,invalid: non-quota immigrant,INVALID
505,invalid: puerto rico,INVALID
0,invalid: stateless,INVALID
705,invalid: stateless,INVALID
583,invalid: united states,INVALID
407,invalid: united states,INVALID
999,invalid: unknown,INVALID
239,invalid: unknown country,INVALID
134,invalid: ussr,INVALID
506,invalid: u.s. virgin islands,INVALID
755,invalid: wake island,INVALID
